COUNTY,ADDRESS TO,STREET 1,STREET 2,CITY,STATE,ZIP,PHONE
Greene County,Circuit Clerk-Absentee Election Manager,PO Box 307,"",Eutaw,AL,35462,""
Hale County,Circuit Clerk-Absentee Election Manager,PO Box 69,"",Greensboro,AL,36744,""
Henry County,Circuit Clerk-Absentee Election Manager,Henry County Courthouse,101  Court Sq Ste J,Abbeville,AL,36310,""
Houston County,Circuit Clerk-Absentee Election Manager,PO Drawer 6406,"",Dothan,AL,36302,""
Jackson County,Circuit Clerk-Absentee Election Manager,PO Box 397,"",Scottsboro,AL,35768,""
"Jefferson County, Bessemer Division",Circuit Clerk-Absentee Election Manager,1851 2nd Ave N,Rm 130,Bessemer,AL,35020,""
"Jefferson County, Birmingham Division",Circuit Clerk-Absentee Election Manager,716 Richard Arrington Jr Blvd N Rm 400,"",Birmingham,AL,35203,""
Lamar County,Circuit Clerk-Absentee Election Manager,PO Box 434,"",Vernon,AL,35592,""
Lauderdale County,Circuit Clerk-Absentee Election Manager,PO Box 795,"",Florence,AL,35630,""
Lawrence County,Circuit Clerk-Absentee Election Manager,PO Box 249,"14451 Market Street, Suite 300",Moulton,AL,35650,""
Lee County,Absentee Election Manager,2311 Gateway Dr,Ste. 104,Opelika,AL,36801,""
Limestone County,Circuit Clerk-Absentee Election Manager,Limestone County Courthouse,200 Washington St W,Athens,AL,35611,""
Lowndes County,Circuit Clerk-Absentee Election Manager,PO Box 876,"",Hayneville,AL,36040,""
Macon County,Circuit Clerk-Absentee Election Manager,PO Box 830723,"",Tuskegee,AL,36083,""
Madison County,Circuit Clerk-Absentee Election Manager,100 North Side Sq Rm 217,"",Huntsville,AL,35801,""
Marengo County,Circuit Clerk-Absentee Election Manager,PO Box 480566,"",Linden,AL,36748,""
Marion County,Circuit Clerk-Absentee Election Manager,PO Box 1595,"",Hamilton,AL,35570,""
Marshall County,Circuit Clerk-Absentee Election Manager,424 Blount Ave Ste 201,"",Guntersville,AL,35976,""
Mobile County,Circuit Clerk-Absentee Election Manager,"9th Floor, North Tower, Mobile Government Plaza","205 Government Street, Rm C-913",Mobile,AL,36644,""
Monroe County,Circuit Clerk-Absentee Election Manager,65 N Alabama Ave,"",Monroeville,AL,36460,""
Montgomery County,The Montgomery Election Center,101 S Lawrence Street,"",Montgomery,AL,36104,""
Morgan County,Circuit Clerk-Absentee Election Manager,PO Box 668,"",Decatur,AL,35602,""
Perry County,Circuit Clerk-Absentee Election Manager,PO Box 505,"",Marion,AL,36756,""
Pickens County,Circuit Clerk-Absentee Election Manager,PO Box 418,"",Carrollton,AL,35447,""
Pike County,Circuit Clerk-Absentee Election Manager,120 W Church St,"",Troy,AL,36081,""
Randolph County,Circuit Clerk-Absentee Election Manager,PO Box 328,"",Wedowee,AL,36278,""
Russell County,Circuit Clerk-Absentee Election Manager,Russell County Judicial Center,501 14th St,Phenix City,AL,36868,""
Shelby County,Circuit Clerk-Absentee Election Manager,PO Box 1810,"",Columbiana,AL,35051,""
Saint Clair County,Circuit Clerk-Absentee Election Manager,100 6th Ave Ste 400,"",Ashville,AL,35953,""
Sumter County,Circuit Clerk-Absentee Election Manager,PO Box 936,"",Livingston,AL,35470,""
Talladega County,Circuit Clerk-Absentee Election Manager,PO Box 6137,"",Talladega,AL,35161,""
Tallapoosa County,Circuit Clerk-Absentee Election Manager,125 N Broadnax St Rm 132,"",Dadeville,AL,36853,""
Tuscaloosa County,Circuit Clerk-Absentee Election Manager,714 Greensboro Ave Rm 214,"",Tuscaloosa,AL,35401,""
Walker County,Circuit Clerk-Absentee Election Manager,PO Box 1389,"",Jasper,AL,35502,""
Washington County,Absentee Election Manager,PO Box 548,"",Chatom,AL,36518,""
Wilcox County,Circuit Clerk-Absentee Election Manager,PO Box 608,"",Camden,AL,36726,""
Winston County,Circuit Clerk-Absentee Election Manager,PO Box 309,"",Double Springs,AL,35553,""
All regions,Chief Election Officer,Territorial Election Office,PO Box 3970,Pago Pago,AS,96799,""
Apache County,County Recorder,PO Box 425,"",St. Johns,AZ,85936,""
Cochise County,Cochise County Recorders,1415 Melody Ln Bldg B,"",Bisbee,AZ,85603,""
Coconino County,Elections Administrator,110 E Cherry Ave,"",Flagstaff,AZ,86001,""
Gila County,Gila County Voter Registration,1400 E Ash St,"",Globe,AZ,85501,""
Graham County,Graham County Recorder,PO Box 747,"",Safford,AZ,85548,""
Greenlee County,County Recorder/Early Voting,PO Box 1625,"",Clifton,AZ,85533,""
La Paz County,County Recorder,1112 Joshua Ave.,Suite 201,Parker,AZ,85344,""
Maricopa County,County Recorder/Elections Dept.,"111 South Third Ave, Suite 102","",Phoenix,AZ,85003,""
Mohave County,Mohave County Voter Registration,PO Box 7000,"",Kingman,AZ,86402,""
Navajo County,Navajo County Recorder,PO Box 668,"",Holbrook,AZ,86025,""
Pima County,County Recorder,PO Box 3145,"",Tucson,AZ,85702,""
Pinal County,County Recorder,PO Box 848,"",Florence,AZ,85132,""
Santa Cruz County,Santa Cruz County Recorder,2150 N Congress Dr.,"",Nogales,AZ,85621,""
Yavapai County,Registrar of Voters,Prescott Office/ Admin. Services Building,1015 Fair Street,Prescott,AZ,86305,""
Yuma County,County Recorder,410 South Maiden Ln,Suite B,Yuma,AZ,85364,""
Arkansas County,County Clerk,101 Court Square,"",Dewitt,AR,72042,""
Ashley County,County Clerk,205 E. Jefferson #5,"",Hamburg,AR,71646,""
Baxter County,County Clerk,#1 East 7th Street,"",Mountain Home,AR,72653,""
Benton County,County Clerk,215 East Central Avenue,"",Bentonville,AR,72712,""
Boone County,County Clerk,100 N. Main Street,Suite 201,Harrison,AR,72601,""
Bradley County,County Clerk,101 East Cedar,Suite 103,Warren,AR,71671,""
Calhoun County,County Clerk,Post Office Box 1175,"",Hampton,AR,71744,""
Carroll County,County Clerk,210 West Church,"",Berryville,AR,72616,""
Chicot County,Chicot County Clerk,108 Main Street,"",Lake Village,AR,71653,""
Clark County,County Clerk,Courthouse Square,401 Clay Street,Arkadelphia,AR,71923,""
Clay County,County Clerk,151 South 2nd Street,"",Piggott,AR,72454,""
Cleburne County,County Clerk,301 West Main Street,"",Heber Springs,AR,72543,""
Cleveland County,County Clerk,Post Office Box 368,"",Rison,AR,71665,""
Columbia County,County Clerk,1 Courthouse Square,"",Magnolia,AR,71753,""
Conway County,County Clerk,"117 S. Moose, Room 202","",Morrilton,AR,72110,""
Craighead County,County Clerk,511 South Main Street,RM 202,Jonesboro,AR,72401,""
Crawford County,County Clerk,300 Main Street,Rm 7,Van Buren,AR,72956,""
Crittenden County,County Clerk,100 Court Square,"",Marion,AR,72364,""
Cross County,County Clerk,705 East Union Street,"",Wynne,AR,72396,""
Dallas County,County Clerk,206 W. 3rd Street,"",Fordyce,AR,71742,""
Desha County,County Clerk,PO Box 218,"",Arkansas City,AR,71630,""
Drew County,County Clerk,210 South Main,"",Monticello,AR,71655,""
Faulkner County,County Clerk,801 Locust Street,"",Conway,AR,72032,""
Franklin County,County Clerk,211 West Commercial,"",Ozark,AR,72949,""
Fulton County,County Clerk,PO Box 219,"",Salem,AR,72576,""
Garland County,County Clerk,501 Ouachita Avenue,"",Hot Springs,AR,71901,""
Grant County,County Clerk,101 West Center,RM 106,Sheridan,AR,72150,""
Greene County,Greene County Clerk,320 West Court Street,RM 102,Paragould,AR,72450,""
Hempstead County,County Clerk,P.O. Box 1420,"",Hope,AR,71802,""
Hot Spring County,County Clerk,210 Locust Street,"",Malvern,AR,72104,""
Howard County,County Clerk,421 North Main Street,Room 10,Nashville,AR,71852,""
Independence County,County Clerk,192 East Main Street,"",Batesville,AR,72501,""
Izard County,County Clerk,Post Office Box 95,"",Melbourne,AR,72556,""
Jackson County,County Clerk,208 Main Street,"",Newport,AR,72112,""
Jefferson County,County Clerk,P.O.Box 6317,"",Pine Bluff,AR,71611,""
Johnson County,County Clerk,P.O Box 57,"",Clarksville,AR,72830,""
Lafayette County,County Clerk,#2 Courthouse Square,"",Lewisville,AR,71845,""
Lawrence County,County Clerk,Post Office Box 526,"",Walnut Ridge,AR,72476,""
Lee County,County Clerk,15 East Chestnut Street,Rm 4,Marianna,AR,72360,""
Lincoln County,County Clerk,300 S Drew St,Room 101,Star City,AR,71667,""
Little River County,County Clerk,351 North Second,Suite 4-B,Ashdown,AR,71822,""
Logan County,County Clerk,#25 Courthouse,"",Paris,AR,72855,""
Lonoke County,County Clerk,P.O.Box 188,"",Lonoke,AR,72086,""
Madison County,Madison County Clerk,P O Box 37,"",Huntsville,AR,72740,""
Marion County,County Clerk,Post Office Box 385,"",Yellville,AR,72687,""
Miller County,County Clerk,400 Laurel #105,"",Texarkana,AR,71854,""
Mississippi County,County Clerk,200 West Walnut St.,"",Blythville,AR,72315,""
Monroe County,County Clerk,123 Madison Street,"",Clarendon,AR,72029,""
Montgomery County,County Clerk,105 Hwy 270 E #10,"",Mount Ida,AR,71957,""
Nevada County,County Clerk,"215 East 2nd Street, South","",Prescott,AR,71857,""
Newton County,County Clerk,Post Office Box 410,"",Jasper,AR,72641,""
Ouachita County,County Clerk,PO Box 1041,"",Camden,AR,71701,""
Perry County,County Clerk,310 West Main,"",Perryville,AR,72126,""
Phillips County,County Clerk,620 Cherry Street,Suite 202,Helena,AR,72342,""
Pike County,County Clerk,Post Office Box 218,112 N Washington Street,Murfreesboro,AR,71958,""
Poinsett County,County Clerk,401 Market Street,"",Harrisburg,AR,72432,""
Polk County,County Clerk,507 Church Avenue,"",Mena,AR,71953,""
Pope County,County Clerk,102 West Main Suite 6,"",Russellville,AR,72801,""
Prairie County,County Clerk,"200 Courthouse Square, Suite 104","",Des Arc,AR,72040,""
Pulaski County,County Clerk,P.O. Box 2659,"",Little Rock,AR,72203,""
Randolph County,County Clerk,101 East Broadway,STE A,Pocahontas,AR,72455,""
Saint Francis County,County Clerk,P.O. Box 1653,"",Forrest City,AR,72336,""
Saline County,County Clerk,215 No. Main Street,Suite 9,Benton,AR,72015,""
Scott County,County Clerk,Post Office Box 2165,"",Marshall,AR,72560,""
Searcy County,County Clerk,P.O. Box 998,"",Marshall,AR,72650,""
Sebastian County,County Clerk,PO Box 1089,"",Fort Smith,AR,72902,""
Sevier County,County Clerk,115 N. Third St,RM 102,De Queen,AR,71832,""
Sharp County,County Clerk,P.O. Box 307,"",Ash Flat,AR,72513,""
Stone County,County Clerk,107 W Main St.,Suite D,Mountain View,AR,72560,""
Union County,County Clerk,101 North Washington,STE 102,El Dorado,AR,71730,""
Van Buren County,Van Buren County Clerk,Voter Registration Administrator,1414 Hwy 65 South Suite 131,Clinton,AR,72031,""
Washington County,County Clerk,280 North College Avenue,Suite 300,Fayetteville,AR,72701,""
White County,County Clerk,315 North Spruce St.,"",Searcy,AR,72143,""
Woodruff County,County Clerk,500 North Third Street,"",Augusta,AR,72006,""
Yell County,County Clerk,PO Box 219,"",Danville,AR,72833,""
Alameda County,Registrar of Voters,PO Box 24224,"",Oakland,CA,94623,""
Alpine County,County Clerk,PO Box 158,"",Markleeville,CA,96120,""
Amador County,Registrar of Voters,810 Court St,"",Jackson,CA,95642,""
Butte County,Butte County Elections Office,25 County Center Dr Ste 110,"",Oroville,CA,95965,""
Calaveras County,Clerk-Recorder,Elections Department,891 Mountain Ranch Rd,San Andreas,CA,95249,""
Colusa County,County Clerk-Recorder,546 Jay St Ste 200,"",Colusa,CA,95932,""
Contra Costa County,County Clerk-Elections,PO Box 271,"",Martinez,CA,94553,""
Del Norte County,Registrar of Voters,981 H St Ste 160,"",Crescent City,CA,95531,""
El Dorado County,"Recorder,Clerk-Registrar of Voters",PO Box 678001,"",Placerville,CA,95667,""
Fresno County,County Clerk/Registrar of Voters,2221 Kern St,"",Fresno,CA,93721,""
Glenn County,County Clerk-Recorder,516 W Sycamore St 2nd Fl,"",Willows,CA,95988,""
Humboldt County,Humboldt County Office of Elections,3033 H St Rm 20,"",Eureka,CA,95501,""
Imperial County,Registrar of Voters,940 W Main St Ste 206,"",El Centro,CA,92243,""
Inyo County,County Clerk/Registrar of Voters,PO Drawer F,"",Independence,CA,93526,""
Kern County,Kern County Elections Office,1115 Truxtun Ave 1st Fl,"",Bakersfield,CA,93301,""
Kings County,Kings County Elections Department,Kings County Government Center,1400 W Lacey Blvd,Hanford,CA,93230,""
Lake County,Registrar of Voters,255 N Forbes St,"",Lakeport,CA,95453,""
Lassen County,Lassen County Clerk,Historic Courthouse,220 S Lassen St Ste 5,Susanville,CA,96130,""
Los Angeles County,Registrar-Recorder/County Clerk,PO Box 1024,"",Norwalk,CA,90651,""
Madera County,County Clerk-Recorder,200 W 4th St,"",Madera,CA,93637,""
Marin County,Registrar of Voters,Marin Civic Center,PO Box E,San Rafael,CA,94913,""
Mariposa County,Registrar of Voters,PO Box 247,"",Mariposa,CA,95338,""
Mendocino County,"Assessor-County Clerk-Recorder,",Elections Department,501 Low Gap Rd Rm 1020,Ukiah,CA,95482,""
Merced County,Barbara J. Levey,Registrar of Voters,"2222 M Street, Room 14",Merced,CA,95340,""
Modoc County,County Clerk,PO Box 130,"",Alturas,CA,96101,""
Mono County,Mono County Elections Division,PO Box 237,"",Bridgeport,CA,93517,""
Monterey County,Monterey County Elections,PO Box 4400,"",Salinas,CA,93912,""
Napa County,Registrar of Voters,900 Coombs St Rm 256,"",Napa,CA,94559,""
Nevada County,Nevada County Elections,950 Maidu Ave,Suite 250,Nevada City,CA,95959,""
Orange County,Registrar of Voters,PO Box 11298,"",Santa Ana,CA,92711,""
Placer County,County Clerk-Recorder-Registrar of Voters,PO Box 5278,"",Auburn,CA,95604,""
Plumas County,"County Clerk, Recorder - Registrar of Voters",520 Main St Rm 102,"",Quincy,CA,95971,""
Riverside County,Registrar of Voters,2724 Gateway Dr,"",Riverside,CA,92507,""
Sacramento County,Registrar of Voters,"7000 65th St, Ste A","",Sacramento,CA,95823,""
San Benito County,San Benito County Department of Elecitons,440 Fifth Street,Room 206 (2nd Floor),Hollister,CA,95023,""
San Bernardino County,San Bernardino County Elections Office,777 E Rialto Ave,"",San Bernardino,CA,92415,""
San Diego County,Registrar of Voters,PO Box 85520,"",San Diego,CA,92186,""
San Francisco County,Director of Elections,1 Dr. Carlton B Goodlett Pl Rm 48,City Hall,San Francisco,CA,94102,""
San Joaquin County,Registrar of Voters,PO Box 810,"",Stockton,CA,95201,""
San Luis Obispo County,County Clerk-Recorder,1055 Monterey St Rm D-120,"",San Luis Obispo,CA,93408,""
San Mateo County,San Mateo County Elections Division,40 Tower Rd,"",San Mateo,CA,94402,""
Santa Barbara County,County Clerk-Recorder-Assessor,PO Box 61510,"",Santa Barbara,CA,93160,""
Santa Clara County,Registrar of Voters,PO Box 611750,"",San Jose,CA,95161,""
Santa Cruz County,County Clerk,701 Ocean St Rm 210,"",Santa Cruz,CA,95060,""
Shasta County,County Clerk/Registrar of Voters,PO Box 990880,"",Redding,CA,96099,""
Sierra County,County Clerk-Recorder,PO Box D,"",Downieville,CA,95936,""
Siskiyou County,County Clerk,510 N Main St,"",Yreka,CA,96097,""
Solano County,Registrar of Voters,675 Texas St Ste 2600,"",Fairfield,CA,94533,""
Sonoma County,Registrar of Voters Office,PO Box 11485,"",Santa Rosa,CA,95406,""
Stanislaus County,County Clerk-Recorder,1021 I St Ste 101,"",Modesto,CA,95354,""
Sutter County,Sutter County Elections,1435 Veterans Memorial Cir,"",Yuba City,CA,95993,""
Tehama County,County Clerk-Recorder,PO Box 250,"",Red Bluff,CA,96080,""
Trinity County,County Clerk-Recorder-Assessor,PO Box 1215,"",Weaverville,CA,96093,""
Tulare County,Registrar of Voters,5951 South Mooney Blvd,"",Visalia,CA,93277,""
Tuolumne County,County Clerk & Auditor-Controller,2 S Green St,Administration Center,Sonora,CA,95370,""
Ventura County,Ventura County Elections Division,800 S Victoria Ave L-1200,"",Ventura,CA,93009,""
Yolo County,Yolo County Elections,PO Box 1820,"",Woodland,CA,95776,""
Yuba County,Yuba County Elections Office,915 8th St Ste 107,"",Marysville,CA,95901,""
Adams County,County Clerk and Recorder-Election Division,4430 S Adams County Parkway,1st Floor  Suite 3102,Brighton,CO,80601,""
Alamosa County,County Clerk and Recorder-Election Division,PO Box 630,"",Alamosa,CO,81101,""
Arapahoe County,County Clerk and Recorder-Election Division,5334 S Prince St,"",Littleton,CO,80120,""
Archuleta County,County Clerk and Recorder-Election Division,PO Box 2589,"",Pagosa Springs,CO,81147,""
Baca County,County Clerk and Recorder,741 Main St Ste 3,"",Springfield,CO,81073,""
Bent County,County Clerk and Recorder-Election Division,PO Box 350,"",Las Animas,CO,81054,""
Boulder County,Boulder County Clerk & Recorder,Election Division,1750 33rd St Ste 200,Boulder,CO,80301,""
Broomfield County,County Clerk and Recorder-Election Division,1 DesCombes Drive,"",Broomfield,CO,80020,""
Chaffee County,County Clerk and Recorder-Election Division,PO Box 699,"",Salida,CO,81201,""
Cheyenne County,County Clerk and Recorder-Election Division,PO Box 567,"",Cheyenne Wells,CO,80810,""
Clear Creek County,County Clerk and Recorder-Election Division,PO Box 2000,"",Georgetown,CO,80444,""
Conejos County,County Clerk and Recorder-Election Division,PO Box 127,"",Conejos,CO,81129,""
Costilla County,County Clerk and Recorder-Election Division,PO Box 308,"",San Luis,CO,81152,""
Crowley County,County Clerk and Recorder-Election Division,631 Main St Ste 102,"",Ordway,CO,81063,""
Custer County,County Clerk and Recorder-Election Division,PO Box 150,"",Westcliffe,CO,81252,""
Delta County,County Clerk and Recorder-Election Division,501 Palmer St Ste 211,"",Delta,CO,81416,""
Denver County,Denver Elections Division,200 W 14th Ave Ste 100,"",Denver,CO,80210,""
Dolores County,County Clerk and Recorder-Election Division,PO Box 58,"",Dove Creek,CO,81324,""
Douglas County,County Clerk and Recorder-Election Division,125 Stephanie Pl,"",Castle Rock,CO,80109,""
Eagle County,County Clerk and Recorder-Election Division,PO Box 537,"",Eagle,CO,81631,""
El Paso County,El Paso County Clerk and Recorder-Election Division,PO Box 2007,"",Colorado Springs,CO,80901,""
Elbert County,County Clerk and Recorder-Election Division,PO Box 37,"",Kiowa,CO,80117,""
Fremont County,County Clerk and Recorder-Election Division,615 Macon Ave Rm 102,"",Canon City,CO,81212,""
Garfield County,County Clerk and Recorder-Election Division,109 8th St Ste 200,"",Glenwood Springs,CO,81601,""
Gilpin County,County Clerk and Recorder-Election Division,PO Box 429,"",Central City,CO,80427,""
Grand County,Grand County Clerk and Recorder-Election Division,PO Box 120,"",Hot Sulphur Springs,CO,80451,""
Gunnison County,County Clerk and Recorder-Election Division,221 N Wisconsin St Ste C,"",Gunnison,CO,81230,""
Hinsdale County,Hinsdale County Clerk and Recorder-Election Division,PO Box 9,"",Lake City,CO,81235,""
Huerfano County,County Clerk and Recorder,"401 Main Street, Suite 204","",Walsenburg,CO,81089,""
Jackson County,County Clerk and Recorder-Election Division,Box 337,"",Walden,CO,80480,""
Jefferson County,Laramie Building ,"3500 Illinois St., STE 1100","",Golden,CO,80401,""
Kiowa County,County Clerk and Recorder-Election Division,PO Box 37,"",Eads,CO,81036,""
Kit Carson County,County Clerk and Recorder-Election Division,PO Box 249,"",Burlington,CO,80807,""
La Plata County,County Clerk and Recorder-Election Division,98 Everett St Ste C,"",Durango,CO,81303,""
Lake County,County Clerk and Recorder-Election Division,PO Box 917,"",Leadville,CO,80461,""
Larimer County,County Clerk and Recorder-Election Division,PO Box 1547,"",Fort Collins,CO,80522,""
Las Animas County,County Clerk and Recorder-Election Division,PO Box 115,"",Trinidad,CO,81082,""
Lincoln County,County Clerk and Recorder-Election Division,PO Box 67,"",Hugo,CO,80821,""
Logan County,County Clerk and Recorder,315 Main St Ste 3,"",Sterling,CO,80751,""
Mesa County,County Clerk and Recorder-Election Division,PO Box 20000,"",Grand Junction,CO,81502,""
Mineral County,County Clerk and Recorder-Election Division,PO Box 70,"",Creede,CO,81130,""
Moffat County,County Clerk and Recorder-Election Division,221 W Victory Wy Ste 200,"",Craig,CO,81625,""
Montezuma County,County Clerk and Recorder,140 West Main St Suite 1,"",Cortez,CO,81321,""
Montrose County,County Clerk and Recorder-Election Division,PO Box 1289,"",Montrose,CO,81402,""
Morgan County,County Clerk and Recorder - Election Division,PO Box 1399,"",Fort Morgan,CO,80701,""
Otero County,County Clerk and Recorder-Election Division,PO Box 511,"",La Junta,CO,81050,""
Ouray County,County Clerk and Recorder-Election Division,PO Box C,"",Ouray,CO,81427,""
Park County,County Clerk and Recorder-Election Division,PO Box 220,"",Fairplay,CO,80440,""
Phillips County,County Clerk and Recorder,221 S Interocean Ave,"",Holyoke,CO,80734,""
Pitkin County,County Clerk and Recorder,530 E Main St Ste 101,"",Aspen,CO,81611,""
Prowers County,County Clerk and Recorder,301 S Main St Ste 210,"",Lamar,CO,81052,""
Pueblo County,County Clerk and Recorder-Election Division,PO Box 480,"",Pueblo,CO,81002,""
Rio Blanco County,County Clerk and Recorder-Election Division,PO Box 1067,"",Meeker,CO,81641,""
Rio Grande County,County Clerk and Recorder-Election Division,PO Box 160,"",Del Norte,CO,81132,""
Routt County,County Clerk and Recorder-Election Division,PO Box 773598,"",Steamboat Springs,CO,80477,""
Saguache County,County Clerk and Recorder-Election Division,PO Box 176,"",Saguache,CO,81149,""
San Juan County,County Clerk and Recorder-Election Division,PO Box 466,"",Silverton,CO,81433,""
San Miguel County,County Clerk and Recorder-Election Division,PO Box 548,"",Telluride,CO,81435,""
Sedgwick County,County Clerk and Recorder,315 Cedar St Ste 220,"",Julesburg,CO,80737,""
Summit County,County Clerk and Recorder-Election Division,PO Box 1538,"",Breckenridge,CO,80424,""
Teller County,County Clerk and Recorder-Election Division,Box 1010,"",Cripple Creek,CO,80813,""
Washington County,County Clerk and Recorder-Election Division,PO Box L,"",Akron,CO,80720,""
Weld County,Weld County Clerk and Recorder-Election Division,1402 North 17th Avenue,"",Greeley,CO,80631,""
Yuma County,County Clerk and Recorder-Election Division,310 Ash St Ste F,"",Wray,CO,80758,""
Kent County,Kent County Dept of Elections: Absentee Voting,100 Enterprise Pl,Suite 5,Dover,DE,19904,""
New Castle County,Department of Elections for New Castle County,PO BOX 7079,"",Wilmington,DE,19803,""
Sussex County,Sussex County Dept. of Elections,PO Box 457,"",Georgetown,DE,19947,""
District of Columbia,Board of Elections and Ethics,One Judiciary Square,"441 4th Street, NW, Suite 250",Washington,DC,20001,""
Alachua County,Supervisor of Elections,111 SE 1st Avenue,"",Gainesville,FL,32601,""
Baker County,Supervisor of Elections,PO Box 505,"",Macclenny,FL,32063,""
Bay County,Mark Andersen Supervisor of Elections,830  W 11th St,"",Panama City,FL,32401,""
Bradford County,Supervisor of Elections,PO Box 58,"",Starke,FL,32091,""
Brevard County,Supervisor of Elections,PO Box 410819,"",Melbourne,FL,32941,""
Broward County,Supervisor of Elections,PO Box 029001,"",Fort Lauderdale,FL,33302,""
Calhoun County,Supervisor of Elections,20859 Central Ave  E,Rm 117,Blountstown,FL,32424,""
Charlotte County,Supervisor of Elections,226 Taylor Street Unit 120,"",Punta Gorda,FL,33950,""
Citrus County,Supervisor of Elections,120 N Apopka Ave,"",Inverness,FL,34450,""
Clay County,Supervisor of Elections,PO Box 337,"",Green Cove Springs,FL,32043,""
Collier County,Jennifer J Edwards,Supervisor of Elections,3295 Tamiami Trl E,Naples,FL,34112,""
Columbia County,Supervisor of Elections,971 W Duval St,Ste 102,Lake City,FL,32055,""
De Soto County,Supervisor of Elections,PO Box 89,"",Arcadia,FL,34265,""
Dixie County,Supervisor of Elections,PO Box 2057,"",Cross City,FL,32628,""
Duval County,Supervisor of Elections,105 E Monroe St,"",Jacksonville,FL,32202,""
Escambia County,Supervisor of Elections,PO Box 12601,"",Pensacola,FL,32591,""
Flagler County,Supervisor of Elections,PO Box 901,"",Bunnell,FL,32110,""
Franklin County,Supervisor of Elections,47 Ave F,"",Apalachicola,FL,32320,""
Gadsden County,Supervisor of Elections,PO Box 186,"",Quincy,FL,32353,""
Gilchrist County,Supervisor of Elections,112 S Main St,Rm 128,Trenton,FL,32693,""
Glades County,Supervisor of Elections,PO Box 668,"",Moore Haven,FL,33471,""
Gulf County,Supervisor of Elections,401 Long Ave,"",Port St Joe,FL,32456,""
Hamilton County,Supervisor of Elections,1153 US Highway 41 NW,Ste 1,Jasper,FL,32052,""
Hardee County,Supervisor of Elections,311 N 6th Ave,"",Wauchula,FL,33873,""
Hendry County,Supervisor of Elections,PO Box 174,"",La Belle,FL,33975,""
Hernando County,Supervisor of Elections,20 N Main St,Rm 165,Brooksville,FL,34601,""
Highlands County,Supervisor of Elections,PO Box 3448,"",Sebring,FL,33871,""
Hillsborough County,Supervisor of Elections,2514 N Falkenburg Rd,"",Tampa,FL,33619,""
